Center Number ,Center Name,Center Location ,Reagion ,Gread 6,Gread 9
AMR2\E/00051,نور الهدى,ماكومبيا,2.2,,8
AMR2\E/00108,هائل  السعيد,مندينار,2.2,14,
AMR2\E/00054,الأكاديمية الدعوة,جامبا جيلي,2.3,52,
AMR2\E/00019,التوفيق,مريم كندا,2.3,34,
AMR2\E/00023,المعهد العلمي المعاصر,أولد يندوم,2.3,37,11
AMR2\E/00021,النور الشاملة,برفوت,2.3,52,69
AMR2\E/00116,أبوبكر الصديق,رومبا,2.3,17,7
AMR2\E/00018,أهل الصفة الإسلامية ,برفوت,2.3,75,27
AMR2\E/00057,بابا جايتي الإسلامية,ترنكل,2.3,16,
AMR2\E/00058,شيخ محفوظ ,برفوت,2.3,36,
AMR2\E/00017,مدرسة شيخ الحاج موسى ماني ,مدين,2.3,39,48
AMR2\E/00053,مدرسة موسى ماني لمحوي الأمية,مدين,2.3,24,9
AMR2\E/00117,نور الهدى الإسلامية ,بانياك,2.3,18,
AMR2\E/00115,يونس سانو ,برفوت,2.3,30,
AMR2\E/00061,الرضوان الخرافي,بيرندنغ,2.4,20,10
AMR2\E/00062,الفلاح,نوفيل,2.4,31,16
AMR2\E/00022,القران لتقدم,سيفو,2.4,13,12
AMR2\E/00067,أحمد بامبا,توجرينغ نيماكوتا,2.4,21,
AMR2\E/00005,خالد بن الوليد,غونجور,2.4,81,92
AMR2\E/00068,سواري الاسلامية,توجيرين,2.4,38,
AMR2\E/00131,شيخ إبراهيم كانتي,سيفو,2.4,12,
AMR2\E/00059,شيخ موسى توري,مدينة السلام ,2.4,21,9
AMR2\E/00128,عباد الرحمن ,سانيا ,2.4,16,16
AMR2\E/00060,عبد الله نيانغ,كاتون,2.4,20,23
AMR2\E/00025,عثمان بن عفان,تانجي,2.4,77,45
AMR2\E/00129,عثمان بن عفان,سانيا,2.4,13,
AMR2\E/00063,عمربن الخطاب ,سانيا بنكل,2.4,36,34
AMR2\E/00065,عمرو بن العاصى,تانجي,2.4,23,9
AMR2\E/00020,مد رسة الإيمان الإسلامية ,غونجور,2.4,102,58
AMR2\E/00130,مدرسة الحسين الإسلامية,تانجي,2.4,16,
AMR2\E/00125,مدرسة النور ,نوفيل باه,2.4,12,
AMR2\E/00027,مدرسة النور الإسلامية,توجيرين,2.4,48,
AMR2\E/00064,مدرسة أبوبكر الصديق,سانيا,2.4,6,
AMR2\E/00127,مدرسة أنس بن مالك,غونجور سنتنبا,2.4,14,
AMR2\E/00026,مدرسة با إبراهيم سيدي   ,سانيا نمساك,2.4,49,26
AMR2\E/00066,مدرسة نورة العبودي,تانجي,2.4,18,9
AMR2\E/00024,مركز الصحابة ,غونجور,2.4,,19
AMR2\E/00002,التوفيق,بركام,2.5,179,181
AMR2\E/00071,الحاج محمود الإسلامية,طوبى مندوار,2.5,16,11
AMR2\E/00031,الفلاح الإسلامية,مندوار,2.5,59,
AMR2\E/00144,المدينة الإسلامية الأكاديمية ,سيرى كند ند,2.5,12,
AMR2\E/00001,المعهد الإسلامي,بريكاما,2.5,182,241
AMR2\E/00034,الهدى,كتي,2.5,42,33
AMR2\E/00078,الوفاء ,بريكاما,2.5,34,23
AMR2\E/00029,أبوبكر الصديق,باكر سامبويا,2.5,31,
AMR2\E/00074,أمنا خديجة للعلوم الإسلامية والمعاصرة,بركام,2.5,28,30
AMR2\E/00069,بشرى الإسلامية,بشرى,2.5,20,
AMR2\E/00076,عثمان بن عفان الاسلامي,بركاما جدا,2.5,15,
AMR2\E/00135,عمر بن الخطاب الإسلامية,بركاما مدينة,2.5,21,
AMR2\E/00138,محمود خليل الحصري,كتي,2.5,14,21
AMR2\E/00136,مدرسة بنم الإسلامية,بنيم,2.5,15,
AMR2\E/00141,مدرسة ربيع الاسلامي,بركاما جدا,2.5,27,14
AMR2\E/00079,مدرسة زين العابدين,كيمبوجي,2.5,42,32
AMR2\E/00077,مدرسة فودي كيمو الإسلامية ,جلامبا ,2.5,42,10
AMR2\E/00137,مدرسة كرمبايا الإسلامية,بريكاما نيامباي,2.5,8,
AMR2\E/00142,مدرسة نور القرآن ,بركام جدة فريس,2.5,9,
AMR2\E/00070,معهد الحاج علي سيك,طوبى ماندوار,2.5,14,
AMR2\E/00038,معهد العلوم الاسلامية والعربية,كيمبوجي,2.5,58,110
AMR2\E/00080,معهد سنجال بوجانغ,كيمبوجي,2.5,12,8
AMR2\E/00032,معهد عمر بن جنك الاسلامية,بركام,2.5,44,40
AMR2\E/00035,معهد كندافي كولي,بركاما,2.5,35,40
AMR2\E/00073,معهد مندوار,مندوار,2.5,29,7
AMR2\E/00033,نيابو كفو الإسلامية,بركام كبا فيتا,2.5,92,26
AMR2\E/00081,المعهد الاسلامي,فربا خيربا,2.6,38,31
AMR2\E/00084,مدرسة التربية الاسلامية,كلورو,2.6,37,13
AMR2\E/00149,مدرسة الحاج منير دابو,باصوري,2.6,29,5
AMR2\E/00082,مدرسة الكوثرالاسلامية,توباكوت,2.6,42,36
AMR2\E/00148,مدرسة أبوبكر الصديق,بونتو,2.6,8,
AMR2\E/00040,مدرسة شيخ شريف توري,كفوت,2.6,32,27
AMR2\E/00083,مدرسة عليّ بن محمد,كلورو,2.6,33,35
AMR2\E/00039,مدرسة ياسر الاسلامية,عومرتو,2.6,6,
AMR2\E/00145,مركز جابي كندا,بيرا,2.6,14,13
AMR2\E/00036,معهد تحفيظ القرآن الكريم,فربا بنتا,2.6,67,40
AMR2\E/00155, بلال بن رباح ,كنجبين,2.7,35,13
AMR2\E/00089,ابراهيم  بياي  ,تمبوت,2.7,16,17
AMR2\E/00165,ابراهيم جيجو,سوول ,2.7,14,
AMR2\E/00088,ابن تيمية  الاسلامية,بنتغ,2.7,26,
AMR2\E/00092,انس بن مالك  ,بتبوت كنتور ,2.7,43,
AMR2\E/00085,بلوك الاسلامية ,بلوك,2.7,25,21
AMR2\E/00041,ربيع الاول  ,بيام,2.7,82,36
AMR2\E/00152,مدرسة الحاج كنجو ر جابي الإسلامية, بسي,2.7,12,
AMR2\E/00157,مدرسة الشيخ جبريل مهدى كجابى,كاوالى فوني,2.7,20,
AMR2\E/00006,مدرسة أبوبكر الصديق,سيبانور,2.7,103,69
AMR2\E/00090,مدرسة أنصار الاسلامية ,أندمبان جولا ,2.7,33,
AMR2\E/00154,مدرسة بوبكر الصديق ,كتكور,2.7,16,
AMR2\E/00156,مدرسة خلفا الإسلامية,دوبون فوني,2.7,14,
AMR2\E/00091,مدرسة سغاجور الإسلامية ,سغاجور,2.7,19,41
AMR2\E/00153,مدرسة علي ابن ابي طالب ,بتندنغ كاجر,2.7,19,
AMR2\E/00087,مدرسة عمر مختار ,سومت,2.7,43,32
AMR2\E/00159,مدرسة محو الامية ,جفنغ,2.7,21,
AMR2\E/00042,معهد الحاج إبراهيم نياس ,طيبة ,2.7,38,16
AMR2\E/00158,نياريك  سنكو,سنتيت,2.7,24,
AMR2\E/00105,سيدنا علي بن أبي طالب,فاراتو,2.2,15,
AMR2\E/00119,أكاديمية ابن عثمين ثنائية اللغة,بوسمبالا,2.2,2,
AMR2\E/00120,مدرسة البر الإسلامية,بوهول بوسمبالا,2.2,14,
AMR2\E/00113,معهد آل جعفر ,بافولوت,2.2,9,
AMR2\E/00106,الحاج محمود كمارا,فاراتو,2.2,21,
AMR2\E/00046,مدرسة دار الأرقم المزدوجة,يوندوم الجديد,2.2,20,
AMR2\E/00101,مدرسة مريم أحمد إسماعيل,يوندم الجديد,2.2,15,
AMR2\E/00171,معهد منار الهدى ,سيفو,2.4,4,
AMR2\E/00175,أكاديمية الملك لله للعلوم والتكنلولوجي,غنجور ,2.4,17,
AMR2\E/00177,الحاج ابراهيم جيجو,كنلنغ فونى,2.7,11,
AMR2\E/00181,مدرسة التقوى  الإسلامية ,نعم كنكو,2.1,38,
AMR2\E/00186,مدرسة فالن  الإسلامية ,سانيا فالا,2.3,7,
